TimeStep,X,Y,Battery,Speed,Distance,Minerals,Action,TimeOfDay,Timestamp
0,0,0,100,0,0,0,START,DAY,00:00
1,0,1,100,1,1,0,MOVE_1,DAY,00:30
2,0,2,100,1,2,0,MOVE_1,DAY,01:00
3,1,3,100,1,3,0,MOVE_1,DAY,01:30
4,0,4,100,1,4,0,MOVE_1,DAY,02:00
5,1,5,100,1,5,0,MOVE_1,DAY,02:30
6,2,6,100,1,6,0,MOVE_1,DAY,03:00
7,2,7,100,1,7,0,MOVE_1,DAY,03:30
8,1,8,100,1,8,0,MOVE_1,DAY,04:00
9,2,9,100,1,9,0,MOVE_1,DAY,04:30
10,3,10,100,1,10,0,MOVE_1,DAY,05:00
11,4,11,100,1,11,0,MOVE_1,DAY,05:30
12,5,12,100,1,12,0,MOVE_1,DAY,06:00
13,6,13,100,1,13,0,MOVE_1,DAY,06:30
14,6,14,100,1,14,0,MOVE_1,DAY,07:00
15,5,15,100,1,15,0,MOVE_1,DAY,07:30
16,4,16,100,1,16,0,MOVE_1,DAY,08:00
17,3,17,100,1,17,0,MOVE_1,DAY,08:30
18,2,18,100,1,18,0,MOVE_1,DAY,09:00
19,2,18,100,0,18,1,MINE,DAY,09:30
20,1,17,100,1,19,1,MOVE_1,DAY,10:00
21,0,16,100,1,20,1,MOVE_1,DAY,10:30
22,1,15,100,1,21,1,MOVE_1,DAY,11:00
23,1,14,100,1,22,1,MOVE_1,DAY,11:30
24,0,13,100,1,23,1,MOVE_1,DAY,12:00
25,1,12,100,1,24,1,MOVE_1,DAY,12:30
26,2,11,100,1,25,1,MOVE_1,DAY,13:00
27,3,10,100,1,26,1,MOVE_1,DAY,13:30
28,3,9,100,1,27,1,MOVE_1,DAY,14:00
29,2,8,100,1,28,1,MOVE_1,DAY,14:30
30,3,7,100,1,29,1,MOVE_1,DAY,15:00
31,2,6,100,1,30,1,MOVE_1,DAY,15:30
32,2,5,100,1,31,1,MOVE_1,NIGHT,16:00
33,1,4,98,1,32,1,MOVE_1,NIGHT,16:30
34,1,3,96,1,33,1,MOVE_1,NIGHT,17:00
35,0,2,94,1,34,1,MOVE_1,NIGHT,17:30
36,0,1,92,1,35,1,MOVE_1,NIGHT,18:00
37,0,0,90,1,36,1,MOVE_1,NIGHT,18:30
